state,county,bbox
AR,"Jefferson County, AR","[-92.2332249, 34.058588, -91.4313495, 34.4928108]"
AR,"Johnson County, AR","[-93.710043, 35.326584, -93.165092, 35.7686371]"
AR,"Lafayette County, AR","[-93.864232, 33.018616, -93.365534, 33.48203]"
AR,"Lawrence County, AR","[-91.3573629, 35.8808722, -90.747519, 36.2579526]"
AR,"Lee County, AR","[-91.103027, 34.6274517, -90.4071147, 34.9119672]"
AR,"Lincoln County, AR","[-91.976379, 33.7832934, -91.421985, 34.176231]"
AR,"Little River County, AR","[-94.4858248, 33.5346694, -93.8248267, 33.9453463]"
AR,"Logan County, AR","[-94.1417925, 35.0197258, -93.278215, 35.430098]"
AR,"Lonoke County, AR","[-92.121384, 34.481913, -91.632845, 35.076319]"
AR,"Madison County, AR","[-93.9630516, 35.759752, -93.4456837, 36.3072986]"
AR,"Marion County, AR","[-92.890725, 36.0626959, -92.4069412, 36.498592]"
AR,"Miller County, AR","[-94.0433167, 33.0192302, -93.664913, 33.614]"
AR,"Mississippi County, AR","[-90.2891097, 35.389277, -89.644395, 36.000608]"
AR,"Monroe County, AR","[-91.447888, 34.336231, -91.000267, 35.0042635]"
AR,"Montgomery County, AR","[-93.9354631, 34.339379, -93.393623, 34.746777]"
AR,"Nevada County, AR","[-93.4838202, 33.4404648, -93.104405, 33.960851]"
AR,"Newton County, AR","[-93.5260588, 35.724678, -92.9384516, 36.1250883]"
AR,"Ouachita County, AR","[-93.1188887, 33.3556028, -92.566284, 33.822544]"
AR,"Perry County, AR","[-93.305899, 34.7718486, -92.540604, 35.115275]"
AR,"Phillips County, AR","[-91.1178659, 34.1186173, -90.540736, 34.645702]"
AR,"Pike County, AR","[-93.9370772, 33.942938, -93.370153, 34.3501865]"
AR,"Poinsett County, AR","[-91.039055, 35.4383655, -90.285507, 35.708233]"
AR,"Polk County, AR","[-94.470277, 34.1901398, -93.930717, 34.7289223]"
AR,"Pope County, AR","[-93.299957, 35.117531, -92.810318, 35.728672]"
AR,"Prairie County, AR","[-91.803703, 34.479736, -91.34384, 35.09155]"
AR,"Pulaski County, AR","[-92.7554438, 34.489952, -92.029701, 35.0146269]"
AR,"Randolph County, AR","[-91.4071103, 36.114868, -90.748637, 36.4985322]"
AR,"St. Francis County, AR","[-91.1525526, 34.8671225, -90.399185, 35.150913]"
AR,"Saline County, AR","[-93.075745, 34.4109385, -92.244629, 34.858849]"
AR,"Scott County, AR","[-94.4543946, 34.664787, -93.7049216, 35.099847]"
AR,"Searcy County, AR","[-92.951416, 35.718189, -92.4115714, 36.1152247]"
AR,"Sebastian County, AR","[-94.447533, 34.930706, -94.0288204, 35.451145]"
AR,"Sevier County, AR","[-94.4773464, 33.751058, -93.958408, 34.192552]"
AR,"Sharp County, AR","[-91.7107443, 35.8906652, -91.25843, 36.4976783]"
AR,"Stone County, AR","[-92.418793, 35.7049784, -91.8360781, 36.133009]"
AR,"Union County, AR","[-92.9887047, 33.0080207, -92.0687417, 33.3878807]"
AR,"Van Buren County, AR","[-92.849922, 35.363641, -92.2407524, 35.7909437]"
AR,"Washington County, AR","[-94.5521709, 35.7503066, -93.887891, 36.236103]"
AR,"White County, AR","[-92.119748, 35.020641, -91.345325, 35.5340561]"
AR,"Woodruff County, AR","[-91.480034, 34.91116, -91.039948, 35.445679]"
AR,"Yell County, AR","[-93.7100184, 34.7432917, -92.900911, 35.312436]"
CA,"Alameda County, CA","[-122.37382, 37.4539161, -121.4690903, 37.9066896]"
CA,Alameda County,"[-122.37382, 37.4539161, -121.4690903, 37.9066896]"
CA,"Alpine County, CA","[-120.0731167, 38.3269341, -119.5422354, 38.9334164]"
CA,"Amador County, CA","[-121.0273043, 38.2174857, -120.0723656, 38.7090956]"
CA,"Butte County, CA","[-122.0692552, 39.2957563, -121.0765886, 40.1517198]"
CA,"Calaveras County, CA","[-120.9956358, 37.8329059, -120.017842, 38.5098748]"
CA,"Colusa County, CA","[-122.78509, 38.9239077, -121.795349, 39.4146319]"
CA,"Contra Costa County, CA","[-122.441484, 37.7184794, -121.5342719, 38.1045118]"
CA,Contra Costa County,"[-122.441484, 37.7184794, -121.5342719, 38.1045118]"
CA,"Del Norte County, CA","[-124.440707, 41.3807762, -123.5178137, 42.0008314]"
CA,Del Norte County,"[-124.440707, 41.3807762, -123.5178137, 42.0008314]"
CA,"El Dorado County, CA","[-121.1487138, 38.5024005, -119.8771408, 39.0675101]"
CA,El Dorado County,"[-121.1487138, 38.5024005, -119.8771408, 39.0675101]"
CA,"Fresno County, CA","[-120.9192485, 35.9066756, -118.3612791, 37.586101]"
CA,"Glenn County, CA","[-122.9382494, 39.3829788, -121.8566454, 39.8006233]"
CA,"Humboldt County, CA","[-124.482003, 40.0013855, -123.4057504, 41.4658436]"
CA,Humboldt County,"[-124.482003, 40.0013855, -123.4057504, 41.4658436]"
CA,"Imperial County, CA","[-116.1062818, 32.618443, -114.4627897, 33.433765]"
CA,"Inyo County, CA","[-118.7900515, 35.7866173, -115.6480334, 37.4649344]"
CA,"Kern County, CA","[-120.1941544, 34.789733, -117.6163674, 35.7982938]"
CA,"Kings County, CA","[-120.3151128, 35.7886118, -119.4743755, 36.4888501]"
CA,"Lake County, CA","[-123.0941684, 38.6676515, -122.3398198, 39.5815189]"
CA,"Lassen County, CA","[-121.3320021, 39.7076671, -119.9956059, 41.1846248]"
CA,"Los Angeles County, CA","[-118.9517221, 32.75004, -117.64627, 34.8233121]"
CA,Los Angeles County,"[-118.9517221, 32.75004, -117.64627, 34.8233121]"
CA,"Madera County, CA","[-120.5453556, 36.7629085, -119.0231339, 37.7782353]"
CA,"Marin County, CA","[-123.085661, 37.8151766, -122.3524581, 38.3211597]"
CA,Marin County,"[-123.085661, 37.8151766, -122.3524581, 38.3211597]"
CA,"Mariposa County, CA","[-120.3954369, 37.1830275, -119.3091614, 37.9027705]"
CA,"Mendocino County, CA","[-124.134889, 38.758119, -122.8176736, 40.00247]"
CA,Mendocino County,"[-124.134889, 38.758119, -122.8176736, 40.00247]"
CA,"Merced County, CA","[-121.2476184, 36.7404189, -120.0524763, 37.6335083]"
CA,"Modoc County, CA","[-121.4573353, 41.1838977, -119.9986077, 41.9977028]"
CA,"Mono County, CA","[-119.6513009, 37.4626559, -117.8330472, 38.7141993]"
CA,"Monterey County, CA","[-122.0608667, 35.7890391, -120.2139463, 36.9193564]"
CA,Monterey County,"[-122.0608667, 35.7890391, -120.2139463, 36.9193564]"
CA,"Napa County, CA","[-122.6468084, 38.1548642, -122.061392, 38.8643182]"
CA,"Nevada County, CA","[-121.2805675, 39.0052071, -120.0031676, 39.5268888]"
CA,"Orange County, CA","[-118.1527575, 33.3336696, -117.4126826, 33.9476346]"
CA,Orange County,"[-118.1527575, 33.3336696, -117.4126826, 33.9476346]"
CA,"Placer County, CA","[-121.4844692, 38.7112111, -120.0053758, 39.3165677]"
CA,Placer County,"[-121.4844692, 38.7112111, -120.0053758, 39.3165677]"
CA,"Plumas County, CA","[-121.4981473, 39.5972855, -120.0990401, 40.4495391]"
CA,"Riverside County, CA","[-117.6763701, 33.4259154, -114.4349244, 34.0801058]"
CA,"Sacramento County, CA","[-121.8628053, 38.0182697, -121.027083, 38.7363502]"
CA,"San Benito County, CA","[-121.6437391, 36.1967681, -120.5966591, 36.9888967]"
CA,"San Bernardino County, CA","[-117.8025491, 33.8710543, -114.1307816, 35.8092129]"
CA,"San Diego County, CA","[-117.6105363, 32.5295236, -116.0810941, 33.5053815]"
CA,San Diego County,"[-117.6105363, 32.5295236, -116.0810941, 33.5053815]"
CA,"San Francisco County, CA","[-122.3951791, 37.7762208, -122.3945379, 37.7768753]"
CA,San Francisco County,"[-108.8855139, 33.759428, -108.8854139, 33.759528]"
CA,"San Joaquin County, CA","[-121.5848663, 37.4817949, -120.9206274, 38.3001213]"
CA,"San Luis Obispo County, CA","[-121.438176, 34.8975179, -119.4726201, 35.796655]"
CA,San Luis Obispo County,"[-121.438176, 34.8975179, -119.4726201, 35.796655]"
CA,"San Mateo County, CA","[-122.588177, 37.0479139, -122.0817623, 37.7082697]"
CA,San Mateo County,"[-122.588177, 37.0479139, -122.0817623, 37.7082697]"
CA,"Santa Barbara County, CA","[-120.734382, 33.4083677, -118.9633999, 35.114665]"
CA,Santa Barbara County,"[-120.734382, 33.4083677, -118.9633999, 35.114665]"
CA,"Santa Clara County, CA","[-122.2026647, 36.8931127, -121.2082946, 37.4846016]"
CA,"Santa Cruz County, CA","[-122.3220529, 36.8488209, -121.5823066, 37.2876789]"
CA,Santa Cruz County,"[-122.3220529, 36.8488209, -121.5823066, 37.2876789]"
CA,"Shasta County, CA","[-123.0690573, 40.2854246, -121.3195676, 41.185405]"
CA,"Sierra County, CA","[-121.058159, 39.3917143, -120.001113, 39.7768924]"
CA,"Siskiyou County, CA","[-123.7191653, 40.9921574, -121.4459738, 42.009499]"
CA,"Solano County, CA","[-122.4070422, 38.0319006, -121.5932881, 38.5390653]"
CA,"Sonoma County, CA","[-123.632497, 38.0695272, -122.3496966, 38.8526549]"
CA,Sonoma County,"[-123.632497, 38.0695272, -122.3496966, 38.8526549]"
CA,"Stanislaus County, CA","[-121.4850799, 37.1346558, -120.3877798, 38.0775105]"
CA,"Sutter County, CA","[-121.9480287, 38.7346401, -121.4144714, 39.3057062]"
CA,"Tehama County, CA","[-123.0660707, 39.7973976, -121.3420273, 40.4461616]"
CA,"Trinity County, CA","[-123.6237672, 39.9769628, -122.4457966, 41.3685544]"
CA,"Tulare County, CA","[-119.573376, 35.786734, -117.9807869, 36.7531474]"
CA,"Tuolumne County, CA","[-120.653104, 37.6335083, -119.1995075, 38.4358565]"
CA,"Ventura County, CA","[-119.7577028, 33.163493, -118.632485, 34.9012713]"
CA,Ventura County,"[-119.7577028, 33.163493, -118.632485, 34.9012713]"
CA,"Yolo County, CA","[-122.4229285, 38.3133402, -121.50117, 38.9259921]"
CA,"Yuba County, CA","[-121.6363408, 38.9183362, -121.0096253, 39.6394125]"
CO,"Adams County, CO","[-105.053339, 39.738002, -103.705695, 40.001478]"
CO,"Alamosa County, CO","[-106.0393983, 37.3561724, -105.452671, 37.7522653]"
CO,"Arapahoe County, CO","[-105.0599255, 39.563524, -103.706352, 39.740835]"
CO,"Archuleta County, CO","[-107.4825098, 36.9925245, -106.476229, 37.423546]"
CO,"Baca County, CO","[-103.0863093, 36.9930715, -102.041585, 37.644282]"
CO,"Bent County, CO","[-103.405251, 37.6420335, -102.738808, 38.265381]"
CO,"Boulder County, CO","[-105.694362, 39.912886, -105.052797, 40.26297]"
CO,"Broomfield County, CO","[-105.1672564, 39.8891952, -104.960925, 40.044227]"
CO,"Chaffee County, CO","[-106.599813, 38.422092, -105.878033, 39.057854]"
CO,"Cheyenne County, CO","[-103.1729937, 38.612198, -102.0450989, 39.0469432]"
CO,"Clear Creek County, CO","[-105.927057, 39.564865, -105.3979489, 39.8520985]"
CO,"Conejos County, CO","[-106.6783733, 36.993758, -105.71802, 37.4035963]"
CO,"Costilla County, CO","[-105.771391, 36.9952018, -105.12972, 37.658305]"
CO,"Crowley County, CO","[-104.058701, 38.1122301, -103.5015772, 38.523003]"
CO,"Custer County, CO","[-105.796897, 37.889703, -105.047455, 38.266018]"
CO,"Delta County, CO","[-108.378999, 38.6679712, -107.499275, 39.217926]"
CO,"Denver County, CO","[-105.1098845, 39.6143008, -104.5996997, 39.9142087]"
CO,"Dolores County, CO","[-109.0433801, 37.4841741, -107.860845, 37.895538]"
CO,"Douglas County, CO","[-105.329445, 39.129487, -104.6606117, 39.5664774]"
CO,"Eagle County, CO","[-107.113739, 39.349491, -106.175568, 39.9252967]"
CO,"Elbert County, CO","[-104.6632112, 38.8667117, -103.7143708, 39.5666607]"
CO,"El Paso County, CO","[-105.072529, 38.5190195, -104.0516212, 39.129876]"
CO,"Fremont County, CO","[-106.012789, 38.258228, -104.938995, 38.6975415]"
CO,"Garfield County, CO","[-109.0514442, 39.365982, -107.031273, 40.091473]"
CO,"Gilpin County, CO","[-105.700853, 39.7458134, -105.396614, 39.936401]"
CO,"Grand County, CO","[-106.652832, 39.68408, -105.62609, 40.486252]"
CO,"Gunnison County, CO","[-107.63504, 38.147072, -106.24563, 39.257691]"
CO,"Hinsdale County, CO","[-107.5914224, 37.422569, -107.000602, 38.147267]"
CO,"Huerfano County, CO","[-105.5012003, 37.2890487, -104.351012, 38.018946]"
CO,"Jackson County, CO","[-106.873221, 40.323382, -105.851755, 41.002663]"
CO,"Jefferson County, CO","[-105.39915, 39.129474, -105.04874, 39.9177868]"
CO,"Kiowa County, CO","[-103.506918, 38.264652, -102.044568, 38.614002]"
CO,"Kit Carson County, CO","[-103.1631661, 39.0375864, -102.0467277, 39.5739578]"
CO,"Lake County, CO","[-106.586743, 39.0565172, -106.135855, 39.383711]"
CO,"La Plata County, CO","[-108.381069, 36.9996052, -107.4813939, 37.6400631]"
CO,"Larimer County, CO","[-106.195438, 40.258167, -104.941895, 40.9982398]"
CO,"Las Animas County, CO","[-105.1550388, 36.9927115, -103.0747299, 37.8174219]"
CO,"Lincoln County, CO","[-104.0556337, 38.5163403, -103.153275, 39.5663308]"
CO,"Logan County, CO","[-103.5818482, 40.435189, -102.650208, 41.0021219]"
CO,"Mesa County, CO","[-109.0601537, 38.499195, -107.377479, 39.3665569]"
CO,"Mineral County, CO","[-107.144966, 37.392056, -106.691833, 37.974844]"
CO,"Moffat County, CO","[-109.0512228, 40.2201332, -107.3133794, 41.0030566]"
CO,"Montezuma County, CO","[-109.0459268, 36.9989678, -107.969923, 37.639587]"
CO,"Montrose County, CO","[-109.0601879, 38.151928, -107.498924, 38.668553]"
CO,"Morgan County, CO","[-104.150414, 40.000836, -103.463097, 40.5244345]"
CO,"Otero County, CO","[-104.0619851, 37.6430405, -103.3971585, 38.2663897]"
CO,"Ouray County, CO","[-108.13238, 37.892007, -107.51088, 38.332778]"
CO,"Park County, CO","[-106.210206, 38.691097, -105.3288612, 39.5681797]"
CO,"Phillips County, CO","[-102.6653482, 40.438324, -102.0516231, 40.7495329]"
CO,"Pitkin County, CO","[-107.465957, 38.977691, -106.426983, 39.366178]"
CO,"Prowers County, CO","[-102.747108, 37.642796, -102.041585, 38.268819]"
CO,"Pueblo County, CO","[-105.049917, 37.7342281, -104.0540872, 38.5222862]"
CO,"Rio Blanco County, CO","[-109.0512853, 39.6498479, -107.037453, 40.2260623]"
CO,"Rio Grande County, CO","[-106.712761, 37.3993505, -106.038322, 37.8352498]"
CO,"Routt County, CO","[-107.4426079, 39.9186814, -106.6261239, 41.0034002]"
CO,"Saguache County, CO","[-107.0018958, 37.7478095, -105.428499, 38.458171]"
CO,"San Juan County, CO","[-107.97506, 37.639501, -107.458134, 37.965015]"
CO,"San Miguel County, CO","[-109.0429406, 37.773556, -107.732788, 38.153099]"
CO,"Sedgwick County, CO","[-102.6537946, 40.748425, -102.051577, 41.00236]"
CO,"Summit County, CO","[-106.435921, 39.357355, -105.775822, 39.924889]"
CO,"Teller County, CO","[-105.33188, 38.6472187, -104.938961, 39.1297543]"
CO,"Washington County, CO","[-103.7070752, 39.565651, -102.779427, 40.438137]"
CO,"Weld County, CO","[-105.0565911, 40.0002435, -103.5729967, 41.0017852]"
CO,"Yuma County, CO","[-102.803162, 39.566528, -102.0498094, 40.440487]"
CT,"Fairfield County, CT","[-73.727811, 40.950983, -73.065051, 41.6667227]"
CT,Fairfield County,"[-82.8429374, 39.5543991, -82.3660635, 39.9410645]"
CT,"Hartford County, CT","[-73.0295383, 41.5447071, -72.4078701, 42.0387821]"
CT,"Litchfield County, CT","[-73.518063, 41.4674234, -72.8877002, 42.0505827]"
CT,"Middlesex County, CT","[-72.7529417, 41.2478034, -72.30571, 41.6472984]"
CT,Middlesex County,"[-71.8987719, 42.1567825, -71.0203778, 42.736474]"
